#,Name,Address,Atoll,Island,District,Rooms,Beds
1,11One Ocean,"Soft Coral, Kurikeela Magu",Vaavu,Fulidhoo,,4,8
2,2020 Sandhaa,"Sandha, Dhunburi Magu",Shaviyani,Milandhoo,,3,6
3,Aagali Beach,Vaagali  Soasun Magu,Vaavu,Fulidhoo,,4,8
4,Aariyaa View,Dhoodigan. Aariyaa,Gnaviyani,Fuvahmulah,,4,8
5,Aasna Inn,Eureka,Kaafu,Thulusdhoo,,12,24
6,Abuharee Grand,Afroaz,Seenu,Hithadhoo,,15,30
7,Acacia Beach,"Hulhumale' Lot No.10402, Maziya",Kaafu,Male',Hulhumale',24,48
8,Acqua Blu Rasdhoo,Seagul,Alifu Alifu,Rasdhoo,,8,16
9,Adroit Beach Inn,White House,Kaafu,Guraidhoo,,3,6
10,Ahiva Village,"Ocean Villa, Ghazee Hingun",Baa,Fulhadhoo,,12,24
11,Akiri Grand,Manzil,Vaavu,Thinadhoo,,4,8
12,Akiri Surf Retreat,Fias,Kaafu,Thulusdhoo,,3,6
13,Al-Hub,"Asaa, Abadhah Hiyaa Magu",Alifu Alifu,Feridhoo,,7,14
14,Ala Fehi Retreat,"Maadhadu, Maadhadige",Gnaviyani,Fuvahmulah,,3,6
15,Alaika Maafushi,"Falaku, Noonu",Kaafu,Maafushi,,11,22
16,Ale Sara Guest (Baa),Randheli,Baa,Eydhafushi,Eydhafushi,4,8
17,Ale Sara Guest Maldive Thoddu,"Tube Rose, Shaheedh Ali Hingun",Alifu Alifu,Thoddoo,,4,8
18,Alimas Holiday Retreat,Alimasge,Vaavu,Felidhoo,,15,30
19,Alkina Lodge,Thousand Flower,Vaavu,Fulidhoo,,4,8
20,Aloha Beach Inn,"Reesha Vaadee, Violet Magu",Kaafu,Himmafushi,,5,10
21,Amazing View,View,Alifu Alifu,Thoddoo,,11,22
22,Amber Beach,Hulhumale' Lot. No. 10997,Kaafu,Male',Hulhumale',20,40
23,Ameera Guest House,"Happy Land, Arutha",Kaafu,Dhiffushi,,10,20
24,Amina Residency,H. Feyrugasdhoshuge,Kaafu,Male',Henveiru,4,8
25,Anfradora Lodge at V. Keyodhoo,"Hudhu Asurumaage, Bandahajehi Magu",Vaavu,Keyodhoo,,10,20
